GEO_ID,GEO.id2,GEO.display-label,Population
1500000US080010085343,80010085343,"Block Group 3, Census Tract 85.34, Adams County, Colorado",1431
1500000US080010085351,80010085351,"Block Group 1, Census Tract 85.35, Adams County, Colorado",3298
1500000US080010085361,80010085361,"Block Group 1, Census Tract 85.36, Adams County, Colorado",2443
1500000US080010085371,80010085371,"Block Group 1, Census Tract 85.37, Adams County, Colorado",6047
1500000US080010085381,80010085381,"Block Group 1, Census Tract 85.38, Adams County, Colorado",0
1500000US080010085382,80010085382,"Block Group 2, Census Tract 85.38, Adams County, Colorado",5305
1500000US080010085391,80010085391,"Block Group 1, Census Tract 85.39, Adams County, Colorado",8437
1500000US080010085401,80010085401,"Block Group 1, Census Tract 85.40, Adams County, Colorado",6408
1500000US080010085411,80010085411,"Block Group 1, Census Tract 85.41, Adams County, Colorado",4277
1500000US080010085421,80010085421,"Block Group 1, Census Tract 85.42, Adams County, Colorado",3786
1500000US080010085422,80010085422,"Block Group 2, Census Tract 85.42, Adams County, Colorado",3250
1500000US080010085431,80010085431,"Block Group 1, Census Tract 85.43, Adams County, Colorado",2135
1500000US080010085432,80010085432,"Block Group 2, Census Tract 85.43, Adams County, Colorado",1195
1500000US080010085433,80010085433,"Block Group 3, Census Tract 85.43, Adams County, Colorado",1661
1500000US080010085434,80010085434,"Block Group 4, Census Tract 85.43, Adams County, Colorado",561
1500000US080010085435,80010085435,"Block Group 5, Census Tract 85.43, Adams County, Colorado",1383
1500000US080010085441,80010085441,"Block Group 1, Census Tract 85.44, Adams County, Colorado",4181
1500000US080010085451,80010085451,"Block Group 1, Census Tract 85.45, Adams County, Colorado",1619
1500000US080010085452,80010085452,"Block Group 2, Census Tract 85.45, Adams County, Colorado",1365
1500000US080010085453,80010085453,"Block Group 3, Census Tract 85.45, Adams County, Colorado",1558
1500000US080010085454,80010085454,"Block Group 4, Census Tract 85.45, Adams County, Colorado",1299
1500000US080010085455,80010085455,"Block Group 5, Census Tract 85.45, Adams County, Colorado",928
1500000US080010085461,80010085461,"Block Group 1, Census Tract 85.46, Adams County, Colorado",1208
1500000US080010085462,80010085462,"Block Group 2, Census Tract 85.46, Adams County, Colorado",1704
1500000US080010085471,80010085471,"Block Group 1, Census Tract 85.47, Adams County, Colorado",1168
1500000US080010085472,80010085472,"Block Group 2, Census Tract 85.47, Adams County, Colorado",2357
1500000US080010085481,80010085481,"Block Group 1, Census Tract 85.48, Adams County, Colorado",1499
1500000US080010085491,80010085491,"Block Group 1, Census Tract 85.49, Adams County, Colorado",2609
